Sample_ID	Sample_barcodes_extracted	sample_desc	Sample_Type	Jar_Number	Jar_Label	Conc_class	Div_class	Plast_class	Depth_class	Sample_date	timepoint	Total_vol_extracted_ml	pore_size	Depth_m	Cnt_pieces_extracted	Extraction_Date	Plastic_colors_counts	Extraction_Group
DNA_108	MIW21-0002	green	manta plastic	NA	NA	MANTA	MANTA	MANTA	SURF	2021-08-23	NA	NA	NA	manta	NA	2021-11-03	NA	MD
DNA_102	MIW21-0016	possibly black plastic	manta plastic	NA	NA	MANTA	MANTA	MANTA	SURF	2021-08-23	NA	NA	NA	manta	NA	2021-11-03	NA	MD
DNA_96	MIW21-0011	shell or plastic	manta plastic	NA	NA	MANTA	MANTA	MANTA	SURF	2021-08-23	NA	NA	NA	manta	NA	2021-11-03	NA	MD
DNA_106	MIW21-0004	turquiose plastic	manta plastic	NA	NA	MANTA	MANTA	MANTA	SURF	2021-08-23	NA	NA	NA	manta	NA	2021-11-03	NA	MD
DNA_100	MIW21-0020	white plastic	manta plastic	NA	NA	MANTA	MANTA	MANTA	SURF	2021-08-23	NA	NA	NA	manta	NA	UNK	NA	UNK
DNA_101	MIW21-0015	white plastic	manta plastic	NA	NA	MANTA	MANTA	MANTA	SURF	2021-08-23	NA	NA	NA	manta	NA	2021-11-03	NA	MD
DNA_97	MIW21-0010	white rod	manta plastic	NA	NA	MANTA	MANTA	MANTA	SURF	2021-08-23	NA	NA	NA	manta	NA	2021-11-03	NA	MD
A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
